source_timestamp,destination_timestamp,x,y,z,roll,pitch,yaw,source_radar_timestamp,destination_radar_timestamp
1547556758975712,1547556758728002,0.000128,0.000202,-0.000000,-0.000000,-0.000000,-0.000023,1547556758854732,1547556758609011
1547556759225463,1547556758975712,0.000101,0.000115,-0.000000,0.000000,0.000000,-0.000018,1547556759104383,1547556758854732
1547556759475574,1547556759225463,-0.000141,-0.000534,-0.000000,0.000000,0.000000,0.000068,1547556759354402,1547556759104383
1547556759725586,1547556759475574,0.000255,0.000782,-0.000000,0.000000,-0.000000,-0.000064,1547556759604563,1547556759354402
1547556759975922,1547556759725586,0.000100,-0.000224,-0.000000,-0.000000,-0.000000,0.000034,1547556759854431,1547556759604563
1547556760227075,1547556759975922,0.000122,-0.000306,-0.000000,-0.000000,0.000000,0.000040,1547556760105234,1547556759854431
1547556760478866,1547556760227075,0.000256,0.000332,-0.000000,-0.000000,-0.000000,-0.000022,1547556760356872,1547556760105234
1547556760730505,1547556760478866,0.000243,0.000277,-0.000000,0.000000,0.000000,-0.000017,1547556760608821,1547556760356872
1547556760981262,1547556760730505,0.000003,-0.000130,-0.000000,-0.000000,0.000000,-0.000002,1547556760860166,1547556760608821
1547556761231535,1547556760981262,-0.000042,-0.000203,-0.000000,0.000000,-0.000000,0.000003,1547556761110125,1547556760860166
1547556761482227,1547556761231535,0.000029,-0.000176,-0.000000,0.000000,-0.000000,0.000004,1547556761360688,1547556761110125
1547556761732704,1547556761482227,0.000006,-0.000173,-0.000000,-0.000000,-0.000000,0.000006,1547556761611623,1547556761360688
1547556761982452,1547556761732704,-0.000097,-0.000212,-0.000000,0.000000,-0.000000,0.000005,1547556761861437,1547556761611623
1547556762231938,1547556761982452,-0.000066,-0.000195,-0.000000,-0.000000,-0.000000,0.000009,1547556762111037,1547556761861437
1547556762481447,1547556762231938,-0.000039,-0.000174,-0.000000,0.000000,0.000000,0.000004,1547556762360661,1547556762111037
1547556762730949,1547556762481447,0.000015,-0.000139,-0.000000,-0.000000,0.000000,0.000005,1547556762610140,1547556762360661
1547556762980029,1547556762730949,0.000098,-0.000157,-0.000000,0.000000,-0.000000,-0.000009,1547556762859497,1547556762610140
1547556763229410,1547556762980029,0.000060,-0.000164,-0.000000,0.000000,0.000000,0.000000,1547556763108501,1547556762859497
1547556763477189,1547556763229410,-0.000093,-0.000099,-0.000000,-0.000000,0.000000,0.000056,1547556763357085,1547556763108501
1547556763725574,1547556763477189,-0.000058,0.000473,-0.000000,0.000000,0.000000,-0.000031,1547556763605140,1547556763357085
